age,income,educ,yrseduc,sector,marital,occup,ctry,origin,employed,fulltime,numemp,weight,ratio,rate,union,id,othersat,othcust,othsize,othunion,gendnum,gendchar,sat,custtype,size,year,hourly,numkids
48,11461,12,12,,5,,1,8,0,,,94025,0.94025,0,,1,2,"Wholesale","Small",,2,"Female",2,"Wholesale","Small",1996,5.7305,1
65,39337,16,16,1,4,1,1,8,1,2,16,83179,0.83179,1.5e-7,,2,3,"Wholesale","Large",,2,"Female",3,"Retail","Large",1988,19.6685,3
25,27300,16,16,1,7,5,1,8,1,2,1000,91660,0.9166,1.5e-7,,4,4,"Retail","Small",,2,"Female",5,"Retail","Small",1988,13.65,0
36,40008,12,12,1,1,3,1,8,1,2,1000,89040,0.8904,2.8e-7,,6,7,"Retail","Small",,1,"Male",4,"Retail","Small",1996,20.004,2
33,21006,13,13,1,1,1,1,8,1,2,1000,87454,0.87454,0,,7,1,"Wholesale","Small",,2,"Female",1,"Wholesale","Small",1985,10.503,0
90,10569,8,9,,4,,1,8,0,,,79399,0.79399,0,,10,3,"Retail","Large",,2,"Female",3,"Retail","Large",1993,5.2845,3
57,25202,12,12,1,5,5,1,8,1,2,750,87081,0.87081,1.5e-7,,11,1,"Wholesale","Large",,2,"Female",3,"Wholesale","Large",1996,12.601,3
54,40033,12,12,6,1,11,1,8,1,2,10,91676,0.91676,1.5e-7,,12,,,"Large",,1,"Male",7,"Retail","Large",1996,20.0165,0
52,34,12,12,6,1,11,1,8,1,2,10,91705,0.91705,0,,13,,,"Large",,2,"Female",4,"Wholesale","Large",1996,0.017,0
26,10033,16,16,1,7,11,1,8,1,2,750,101385,1.01385,1.5e-7,,14,,,"Small",,1,"Male",3,"Wholesale","Small",1988,5.0165,2
70,9096,12,12,,1,,1,8,0,,,80087,0.80087,1.5e-7,,15,3,"Wholesale","Large",,1,"Male",7,"Retail","Large",1996,4.548,3
69,21181,16,16,,1,,1,8,0,,,101828,1.01828,0,,16,5,"Retail","Large",,2,"Female",3,"Wholesale","Large",1988,10.5905,3
27,18594,12,12,1,7,8,1,8,1,2,42,96688,0.96688,1.5e-7,,17,5,"Wholesale","Small",,1,"Male",4,"Wholesale","Small",1996,9.297,2
42,32050,13,13,1,5,5,1,8,1,2,1000,65650,0.6565,1.5e-7,2,18,5,"Retail","Small",,2,"Female",5,"Wholesale","Small",1985,16.025,3
47,28364,16,16,6,1,2,1,8,1,2,10,63970,0.6397,1.5e-7,,21,7,"Wholesale","Small",,1,"Male",4,"Wholesale","Small",1988,14.182,2
46,7500,16,16,1,1,4,1,8,1,2,10,67908,0.67908,0,1,22,4,"Wholesale","Small",0,2,"Female",1,"Wholesale","Small",1988,3.75,3
40,10150,13,13,1,1,2,1,8,1,2,16,65650,0.6565,2.8e-7,1,23,1,"Wholesale","Small",0,2,"Female",2,"Wholesale","Small",1985,5.075,1
41,58150,13,13,5,1,2,1,6,1,2,10,86054,0.86054,0,,24,3,"Retail","Small",,1,"Male",6,"Wholesale","Small",1985,29.075,2
40,100899,16,16,1,1,11,1,8,1,2,1000,68695,0.68695,2.8e-7,1,27,,,"Small",,1,"Male",6,"Wholesale","Small",1988,50.4495,2
38,900,16,16,,1,,1,8,0,,,60393,0.60393,0,,28,5,"Retail","Small",,2,"Female",5,"Retail","Small",1988,0.45,0
71,14656,12,12,,1,,1,8,0,,,55563,0.55563,0,,31,7,"Retail","Large",,1,"Male",7,"Wholesale","Large",1996,7.328,2
69,7262,12,12,,1,,1,8,0,,,55761,0.55761,0,,32,1,"Retail","Large",,2,"Female",1,"Wholesale","Large",1996,3.631,3
58,70084,13,13,1,1,1,1,8,1,2,16,60980,0.6098,2.8e-7,1,33,4,"Wholesale","Large",0,1,"Male",5,"Wholesale","Large",1985,35.042,0
54,21000,13,13,1,1,2,1,8,1,2,750,55907,0.55907,0,1,34,3,"Retail","Large",0,2,"Female",5,"Retail","Large",1985,10.5,1
42,80100,18,20,3,5,2,1,8,1,2,300,63715,0.63715,2.8e-7,1,35,3,"Retail","Small",0,2,"Female",4,"Wholesale","Small",1992,40.05,3
49,22000,16,16,1,1,5,1,8,1,2,1000,63970,0.6397,1.5e-7,1,37,4,"Wholesale","Small",,1,"Male",7,"Retail","Small",1988,11,0
47,12000,13,13,4,1,5,1,8,1,4,750,67908,0.67908,0,1,38,4,"Wholesale","Small",,2,"Female",3,"Wholesale","Small",1985,6,0
84,6662,16,16,,4,,1,8,0,,,54470,0.5447,0,,41,2,"Retail","Large",,2,"Female",3,"Retail","Large",1988,3.331,0
